Názov firmy; Sídlo;Základné imanie;Registrácia; Cena
Chef Company, s. r. o. ; Karpatské námestie 10A, 831 06 Bratislava - mestská časť Rača; 5 000,00 €; 25.04.2019; 499.00 €
Space Trade,s. r. o.; Karpatské námestie 10A, 831 06 Bratislava - Rača; 5 000,00 €;  	08.05.2019; 499.00 €
